user_name,user_location,user_description,user_created,user_followers,user_friends,user_favourites,user_verified,date,text,hashtags,source,is_retweet,cleaned_text,sentiment,topic,label,misinformation_label
Ian Carter,"Launceston, Tasmania","Guess the age? I love my 2 cats! Why, when, and who. How and what. Answer now or maybe not...:) Quizzicality, the newest name for our reality.",2010-01-26 11:14:29,3321,4082,11515,False,2020-07-25,"sick idea @thepmo &amp; @Dom_Perrottet, of 'living with #Covid19' one bit or at all.

'What about, if it gets worse, a… https://t.co/n2edrBwHA9",['Covid19'],Twitter Web App,False,sick idea amp living one bit gets worse,NEGATIVE,0,misinformation,misinformation
Khoe-Cau-Asian,Occupied Indigenous land. ,"#QURAN#SUNNAH#SALAF, #indigenousrights #Anusa, dislikes #Islamophobia, ask me don't assume,
likes & retweets not endorsments",2010-05-03 08:11:24,265,256,4175,False,2020-07-27,"@Makashule @ricardomackenzi What about TB, 124k deaths in SA last year, 1,5 million globally, we being bamboozled.… https://t.co/eg2N1JrGGJ",,Twitter for Android,False,tb 124k deaths sa last year 1 5 million globally bamboozled,NEGATIVE,1,misinformation,misinformation
Haley-ICU,,"#FBR RN TICU, CVICU, CCT.Native Texan. Thanks to Trump—a political activist. Vote Blue 🌊🌊🚑🚑🩺🩺",2020-04-14 01:30:11,5035,5516,3974,False,2020-08-09,Didn’t know this. Thanks for the new word for #COVID19 Idiots https://t.co/QdlDj3sN1U https://t.co/N43gOO9Fut,['COVID19'],Twitter for iPhone,False,know thanks new word idiots,NEGATIVE,0,misinformation,misinformation
Abhishek Chakraborty,Jamshedpur,Asst. Professor; Football Enthusiast (LFC Fan); Political Analyst; RT's≠endorsements,2009-07-26 20:12:35,619,529,3191,False,2020-08-22,The government should be thankful to #COVID19 that now it can hide its mishandling of economy behind it. The econom… https://t.co/7KZg9Kjgkv,['COVID19'],Twitter Web App,False,government thankful hide mishandling economy behind econom,NEGATIVE,0,misinformation,misinformation
